Temperature,Humidity,Pressure
32.26,45,1030.25
32.22,44,1030.22
32.3,44,1030.21
32.28,44,1030.21
32.24,44,1030.22
32.32,44,1030.22
32.26,44,1030.18
32.2,44,1030.19
32.28,44,1030.23

Temperature,Humidity,Pressure
32.13,45,1030.25
32.2,45,1030.2
