(17-04-2020) (14:42:55) -- Temperatur: 38.9 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:42:56) -- Temperatur: 38.9 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:42:57) -- Temperatur: 38.9 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:42:58) -- Temperatur: 38.8 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:42:59) -- Temperatur: 38.9 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:43:00) -- Temperatur: 38.9 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:43:01) -- Temperatur: 39.0 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:43:02) -- Temperatur: 39.0 C -- Lufttryk: 1017 -- Fugtighed: 17

(17-04-2020) (14:44:00) -- Temperatur: 38.8 C -- Lufttryk: 1017 -- Fugtighed: 17

(17-04-2020) (14:44:01) -- Temperatur: 38.8 C -- Lufttryk: 1017 -- Fugtighed: 16

(17-04-2020) (14:44:02) -- Temperatur: 38.7 C -- Lufttryk: 1017 -- Fugtighed: 17

(17-04-2020) (14:44:03) -- Temperatur: 38.7 C -- Lufttryk: 1017 -- Fugtighed: 14

